teamstatspk,Team,games_played,wins,losses,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,personal_fouls,personal_fouls_drawn,plus_minus,season
359,Orlando Magic,82,20,62,0.244,3956,7718,3093,6904,44.8,506,1537,32.9,1026,1359,75.5,890,2612,3502,1871,1191,528,358,430,1591,1353,-573,2012-13
360,Chicago Bulls,66,50,16,0.758,3188,6359,2467,5462,45.2,419,1117,37.5,1006,1394,72.2,915,2165,3080,1527,923,456,388,343,1139,1166,540,2011-12
361,San Antonio Spurs,66,50,16,0.758,3188,6841,2611,5463,47.8,552,1405,39.3,1067,1427,74.8,683,2153,2836,1528,895,490,293,330,1143,1244,473,2011-12
362,Oklahoma City Thunder,66,47,19,0.712,3198,6802,2462,5229,47.1,472,1317,35.8,1406,1744,80.6,726,2157,2883,1224,1079,498,539,321,1352,1322,404,2011-12
363,Miami Heat,66,46,20,0.697,3208,6500,2446,5212,46.9,370,1030,35.9,1238,1598,77.5,686,2060,2746,1317,1002,585,355,280,1282,1356,395,2011-12
364,Indiana Pacers,66,42,24,0.636,3198,6449,2354,5375,43.8,392,1064,36.8,1349,1724,78.2,826,2070,2896,1228,925,523,357,398,1430,1428,218,2011-12
365,Los Angeles Lakers,66,41,25,0.621,3213,6422,2429,5319,45.7,362,1112,32.6,1202,1589,75.6,799,2251,3050,1485,997,390,351,302,1109,1332,94,2011-12
366,Memphis Grizzlies,66,41,25,0.621,3188,6269,2425,5422,44.7,277,849,32.6,1142,1504,75.9,831,1944,2775,1290,955,631,345,363,1316,1275,133,2011-12
367,Atlanta Hawks,66,40,26,0.606,3233,6375,2429,5348,45.4,492,1330,37,1025,1385,74,652,2066,2718,1481,921,536,303,313,1178,1263,227,2011-12
368,Los Angeles Clippers,66,40,26,0.606,3193,6438,2439,5366,45.5,514,1441,35.7,1046,1538,68,800,1943,2743,1385,879,556,315,296,1399,1401,169,2011-12
369,Boston Celtics,66,39,27,0.591,3188,6062,2341,5086,46,363,988,36.7,1017,1308,77.8,509,2051,2560,1557,979,498,362,304,1315,1217,166,2011-12
370,Denver Nuggets,66,38,28,0.576,3208,6872,2572,5404,47.6,435,1311,33.2,1293,1760,73.5,738,2105,2843,1581,1015,540,330,439,1297,1452,190,2011-12
371,Orlando Magic,66,37,29,0.561,3193,6215,2275,5162,44.1,670,1785,37.5,995,1508,66,742,2060,2802,1321,984,451,275,273,1168,1308,52,2011-12
372,Dallas Mavericks,66,36,30,0.545,3213,6322,2398,5412,44.3,497,1464,33.9,1029,1334,77.1,665,2157,2822,1380,926,565,337,265,1226,1213,63,2011-12
373,New York Knicks,66,36,30,0.545,3188,6458,2365,5335,44.3,517,1538,33.6,1211,1634,74.1,743,2012,2755,1328,1056,622,276,334,1391,1437,211,2011-12
374,Utah Jazz,66,36,30,0.545,3233,6577,2523,5531,45.6,273,845,32.3,1258,1668,75.4,861,2055,2916,1439,936,545,385,375,1441,1366,41,2011-12
375,Philadelphia 76ers,66,35,31,0.53,3183,6180,2471,5516,44.8,349,963,36.2,889,1198,74.2,704,2144,2848,1453,738,526,340,316,1157,1070,280,2011-12
376,Houston Rockets,66,34,32,0.515,3213,6474,2489,5543,44.9,478,1330,35.9,1018,1301,78.2,769,2014,2783,1404,955,496,319,340,1347,1215,15,2011-12
377,Phoenix Suns,66,33,33,0.5,3168,6492,2495,5445,45.8,444,1295,34.3,1058,1397,75.7,717,2035,2752,1486,928,431,366,288,1233,1293,-16,2011-12
378,Milwaukee Bucks,66,31,35,0.47,3173,6535,2502,5652,44.3,436,1265,34.5,1095,1415,77.4,820,1983,2803,1550,929,548,335,297,1273,1278,18,2011-12
379,Portland Trail Blazers,66,28,38,0.424,3193,6415,2402,5417,44.3,478,1382,34.6,1133,1423,79.6,735,1949,2684,1349,935,528,322,314,1251,1306,-41,2011-12
380,Minnesota Timberwolves,66,26,40,0.394,3188,6464,2355,5434,43.3,473,1423,33.2,1281,1662,77.1,797,2089,2886,1290,1001,436,293,377,1212,1435,-145,2011-12
381,Detroit Pistons,66,25,41,0.379,3193,5997,2291,5232,43.8,317,916,34.6,1098,1461,75.2,775,1882,2657,1232,1033,460,278,348,1293,1283,-316,2011-12
382,Golden State Warriors,66,23,43,0.348,3183,6453,2489,5443,45.7,524,1351,38.8,951,1235,77,640,1947,2587,1470,915,528,362,328,1410,1095,-225,2011-12
383,Toronto Raptors,66,23,43,0.348,3193,5986,2268,5154,44,365,1075,34,1085,1410,77,697,2074,2771,1382,1001,429,321,322,1532,1214,-218,2011-12
384,New Jersey Nets,66,22,44,0.333,3178,6144,2262,5320,42.5,507,1481,34.2,1113,1433,77.7,783,1879,2662,1311,995,493,260,330,1268,1274,-395,2011-12
385,Sacramento Kings,66,22,44,0.333,3183,6518,2490,5712,43.6,411,1301,31.6,1127,1532,73.6,882,1947,2829,1271,952,561,323,423,1287,1313,-375,2011-12
386,Cleveland Cavaliers,66,21,45,0.318,3193,6140,2261,5360,42.2,440,1273,34.6,1178,1645,71.6,841,1949,2790,1308,1017,466,262,409,1317,1381,-475,2011-12
387,New Orleans Hornets,66,21,45,0.318,3188,5916,2300,5103,45.1,259,777,33.3,1057,1397,75.7,724,1991,2715,1368,1024,488,316,380,1324,1235,-248,2011-12
388,Washington Wizards,66,20,46,0.303,3173,6180,2414,5475,44.1,344,1075,32,1008,1386,72.7,775,1975,2750,1262,1008,527,417,300,1405,1231,-317,2011-12
389,Charlotte Bobcats,66,7,59,0.106,3178,5739,2193,5293,41.4,263,892,29.5,1090,1462,74.6,677,1894,2571,1326,957,397,361,378,1249,1341,-918,2011-12
390,Chicago Bulls,82,62,20,0.756,3966,8087,3042,6587,46.2,511,1415,36.1,1492,2008,74.3,967,2654,3621,1827,1161,592,468,477,1639,1645,600,2010-11
391,San Antonio Spurs,82,61,21,0.744,3956,8502,3148,6628,47.5,685,1727,39.7,1521,1984,76.7,829,2603,3432,1836,1101,602,372,374,1556,1701,468,2010-11
392,Miami Heat,82,58,24,0.707,3956,8369,3031,6301,48.1,547,1479,37,1760,2288,76.9,790,2666,3456,1639,1142,544,430,246,1674,1788,612,2010-11
393,Dallas Mavericks,82,57,25,0.695,3941,8220,3069,6463,47.5,645,1768,36.5,1437,1850,77.7,780,2618,3398,1954,1145,557,352,303,1575,1650,347,2010-11
394,Los Angeles Lakers,82,57,25,0.695,3966,8321,3128,6757,46.3,524,1487,35.2,1541,1979,77.9,989,2616,3605,1801,1073,602,422,372,1555,1700,501,2010-11
395,Boston Celtics,82,56,26,0.683,3956,7913,3023,6219,48.6,408,1119,36.5,1459,1895,77,639,2542,3181,1921,1195,676,344,364,1678,1659,440,2010-11
396,Oklahoma City Thunder,82,55,27,0.671,4001,8596,3066,6609,46.4,487,1403,34.7,1977,2401,82.3,903,2604,3507,1672,1156,654,487,356,1836,1767,311,2010-11
397,Orlando Magic,82,52,30,0.634,3966,8135,2956,6411,46.1,770,2103,36.6,1453,2101,69.2,864,2679,3543,1636,1224,548,384,310,1640,1791,448,2010-11
398,Denver Nuggets,82,50,32,0.61,3941,8811,3145,6613,47.6,662,1704,38.8,1859,2429,76.5,791,2652,3443,1813,1157,605,352,488,1719,1864,390,2010-11
399,Portland Trail Blazers,82,48,34,0.585,3961,7896,2951,6599,44.7,518,1503,34.5,1476,1835,80.4,996,2230,3226,1736,1070,660,358,339,1585,1743,125,2010-11
400,Memphis Grizzlies,82,46,36,0.561,3976,8195,3200,6801,47.1,309,926,33.4,1486,1981,75,970,2391,3361,1691,1145,771,441,505,1705,1754,192,2010-11
401,New Orleans Hornets,82,46,36,0.561,3966,7784,2944,6416,45.9,444,1232,36,1452,1897,76.5,824,2468,3292,1691,1069,624,359,396,1719,1674,73,2010-11
402,Atlanta Hawks,82,44,38,0.537,3946,7790,2971,6429,46.2,502,1427,35.2,1346,1728,77.9,762,2460,3222,1802,1118,497,341,348,1554,1517,-67,2010-11
403,Houston Rockets,82,43,39,0.524,3976,8685,3170,6975,45.4,677,1843,36.7,1668,2083,80.1,962,2549,3511,1955,1110,581,371,449,1641,1754,179,2010-11
404,New York Knicks,82,42,40,0.512,3956,8734,3140,6867,45.7,765,2081,36.8,1689,2087,80.9,847,2470,3317,1757,1123,625,475,360,1743,1703,64,2010-11
405,Philadelphia 76ers,82,41,41,0.5,3986,8119,3125,6776,46.1,443,1248,35.5,1426,1851,77,850,2578,3428,1861,1063,621,355,376,1592,1544,123,2010-11
406,Phoenix Suns,82,40,42,0.488,4001,8611,3219,6844,47,701,1857,37.7,1472,1939,75.9,821,2478,3299,1945,1169,545,357,356,1666,1740,-73,2010-11
407,Utah Jazz,82,39,43,0.476,3976,8153,3064,6590,46.5,435,1256,34.6,1590,2061,77.1,898,2338,3236,1921,1175,629,484,411,1865,1802,-150,2010-11
408,Indiana Pacers,82,37,45,0.451,3956,8183,3003,6787,44.2,585,1653,35.4,1592,2035,78.2,914,2657,3571,1611,1262,584,456,467,1782,1758,-88,2010-11
409,Golden State Warriors,82,36,46,0.439,3966,8477,3251,7047,46.1,685,1749,39.2,1290,1695,76.1,955,2370,3325,1847,1198,737,406,352,1806,1512,-191,2010-11
410,Milwaukee Bucks,82,35,47,0.427,3966,7534,2814,6544,43,483,1414,34.2,1423,1881,75.7,862,2480,3342,1545,1103,617,399,392,1682,1694,-69,2010-11
411,Charlotte Bobcats,82,34,48,0.415,3961,7650,2873,6365,45.1,393,1203,32.7,1511,1999,75.6,848,2444,3292,1728,1192,524,433,496,1637,1730,-328,2010-11
412,Los Angeles Clippers,82,32,50,0.39,3971,8089,3015,6594,45.7,513,1519,33.8,1546,2187,70.7,955,2501,3456,1813,1343,585,402,404,1733,1811,-257,2010-11
413,Detroit Pistons,82,30,52,0.366,3976,7951,3056,6647,46,472,1256,37.6,1367,1854,73.7,931,2236,3167,1730,1067,595,328,381,1629,1545,-295,2010-11
414,New Jersey Nets,82,24,58,0.293,4001,7722,2918,6638,44,459,1337,34.3,1427,1881,75.9,909,2440,3349,1723,1152,458,384,375,1807,1638,-512,2010-11
415,Sacramento Kings,82,24,58,0.293,3971,8151,3134,6979,44.9,428,1277,33.5,1455,1981,73.4,1071,2526,3597,1675,1324,608,391,464,1805,1723,-438,2010-11
416,Washington Wizards,82,23,59,0.28,3986,7977,3048,6888,44.3,392,1182,33.2,1489,1999,74.5,1013,2374,3387,1592,1258,665,502,413,1850,1662,-607,2010-11
417,Toronto Raptors,82,22,60,0.268,3956,8124,3144,6755,46.5,345,1091,31.6,1491,1976,75.5,963,2343,3306,1795,1206,581,350,456,1807,1620,-515,2010-11
418,Cleveland Cavaliers,82,19,63,0.232,3951,7827,2886,6647,43.4,509,1489,34.2,1546,2075,74.5,856,2449,3305,1720,1166,544,341,489,1648,1747,-739,2010-11
419,Minnesota Timberwolves,82,17,65,0.207,3956,8288,3090,7014,44.1,589,1565,37.6,1519,1977,76.8,1085,2556,3641,1650,1398,592,422,447,1825,1717,-544,2010-11
420,Cleveland Cavaliers,82,61,21,0.744,3956,8373,3101,6391,48.5,602,1582,38.1,1569,2180,72,791,2692,3483,1835,1137,564,425,325,1591,1708,535,2009-10
421,Orlando Magic,82,59,23,0.72,3946,8426,3005,6394,47,841,2241,37.5,1575,2176,72.4,810,2736,3546,1615,1155,512,456,288,1629,1819,614,2009-10
422,Los Angeles Lakers,82,57,25,0.695,3966,8339,3144,6875,45.7,532,1562,34.1,1519,1985,76.5,973,2662,3635,1730,1096,612,400,363,1592,1737,387,2009-10
423,Dallas Mavericks,82,55,27,0.671,3976,8364,3140,6760,46.4,558,1498,37.2,1526,1870,81.6,834,2586,3420,1917,1059,624,449,337,1563,1652,223,2009-10
424,Phoenix Suns,82,54,28,0.659,3946,9039,3339,6788,49.2,730,1770,41.2,1631,2117,77,910,2616,3526,1912,1210,479,418,365,1713,1789,402,2009-10
425,Atlanta Hawks,82,53,29,0.646,3971,8338,3181,6801,46.8,524,1455,36,1452,1914,75.9,969,2451,3420,1789,980,592,413,359,1632,1582,382,2009-10
426,Denver Nuggets,82,53,29,0.646,3956,8729,3124,6678,46.8,544,1517,35.9,1937,2508,77.2,889,2505,3394,1719,1136,683,417,438,1844,1943,335,2009-10
427,Utah Jazz,82,53,29,0.646,3951,8547,3227,6575,49.1,439,1207,36.4,1654,2233,74.1,872,2588,3460,2187,1246,675,400,445,1859,1818,438,2009-10
428,Boston Celtics,82,50,32,0.61,3956,8136,3039,6294,48.3,499,1433,34.8,1559,2090,74.6,716,2449,3165,1930,1219,701,402,386,1816,1777,300,2009-10
429,Oklahoma City Thunder,82,50,32,0.61,3961,8322,3063,6629,46.2,418,1229,34,1778,2210,80.5,960,2607,3567,1639,1227,654,481,384,1743,1755,286,2009-10
430,Portland Trail Blazers,82,50,32,0.61,3971,8045,2974,6453,46.1,491,1388,35.4,1606,2033,79,913,2383,3296,1674,1012,523,350,333,1715,1767,271,2009-10
431,San Antonio Spurs,82,50,32,0.61,3956,8312,3150,6659,47.3,554,1547,35.8,1458,1969,74,887,2621,3508,1829,1116,516,381,417,1669,1672,417,2009-10
432,Miami Heat,82,47,35,0.573,3976,7914,2984,6518,45.8,494,1426,34.6,1452,1931,75.2,875,2553,3428,1548,1079,605,457,355,1710,1639,187,2009-10
433,Milwaukee Bucks,82,46,36,0.561,3996,8009,3050,6998,43.6,645,1813,35.6,1264,1675,75.5,965,2560,3525,1740,1085,580,385,421,1823,1664,139,2009-10
434,Charlotte Bobcats,82,44,38,0.537,3976,7813,2858,6306,45.3,460,1331,34.6,1637,2180,75.1,858,2490,3348,1658,1290,632,446,502,1597,1804,120,2009-10
435,Houston Rockets,82,42,40,0.512,3981,8395,3094,6923,44.7,646,1838,35.1,1561,2022,77.2,971,2471,3442,1790,1188,583,318,532,1712,1840,-30,2009-10
436,Chicago Bulls,82,41,41,0.5,3981,7993,3081,6825,45.1,352,1066,33,1479,1962,75.4,937,2715,3652,1704,1175,531,478,438,1648,1643,-134,2009-10
437,Memphis Grizzlies,82,40,42,0.488,3981,8404,3223,6875,46.9,344,1020,33.7,1614,2202,73.3,1070,2496,3566,1543,1248,645,399,501,1655,1840,-124,2009-10
438,Toronto Raptors,82,40,42,0.488,3956,8534,3199,6631,48.2,518,1397,37.1,1618,2118,76.4,806,2507,3313,1804,1100,469,384,360,1819,1730,-146,2009-10
439,New Orleans Hornets,82,37,45,0.451,3966,8220,3178,6842,46.4,571,1572,36.3,1293,1661,77.8,852,2450,3302,1828,1103,625,300,367,1606,1597,-202,2009-10
440,Indiana Pacers,82,32,50,0.39,3941,8263,3020,6823,44.3,659,1896,34.8,1564,2019,77.5,785,2618,3403,1730,1232,585,439,414,1848,1709,-247,2009-10
441,Los Angeles Clippers,82,29,53,0.354,3941,7849,3002,6601,45.5,483,1457,33.2,1362,1867,73,927,2502,3429,1810,1285,532,466,363,1581,1588,-521,2009-10
442,New York Knicks,82,29,53,0.354,3976,8373,3127,6876,45.5,743,2145,34.6,1376,1759,78.2,836,2477,3313,1772,1148,586,305,368,1638,1576,-313,2009-10
443,Detroit Pistons,82,27,55,0.329,3956,7709,2940,6602,44.5,374,1190,31.4,1455,1998,72.8,1053,2242,3295,1591,1100,596,313,401,1822,1702,-419,2009-10
444,Philadelphia 76ers,82,27,55,0.329,3961,8014,3087,6706,46,474,1381,34.3,1366,1808,75.6,941,2421,3362,1723,1192,667,439,332,1677,1534,-320,2009-10
445,Golden State Warriors,82,26,56,0.317,3946,8922,3329,7094,46.9,633,1687,37.5,1631,2085,78.2,753,2397,3150,1839,1204,761,340,407,1886,1757,-295,2009-10
446,Washington Wizards,82,26,56,0.317,3966,7892,3008,6700,44.9,432,1225,35.3,1444,1895,76.2,966,2458,3424,1557,1219,493,421,415,1752,1684,-392,2009-10
447,Sacramento Kings,82,25,57,0.305,3976,8200,3144,6895,45.6,482,1383,34.9,1430,1969,72.6,977,2518,3495,1679,1226,564,366,468,1827,1650,-358,2009-10
448,Minnesota Timberwolves,82,15,67,0.183,3956,8051,3106,6923,44.9,403,1181,34.1,1436,1926,74.6,962,2556,3518,1626,1333,597,306,442,1699,1686,-787,2009-10
449,New Jersey Nets,82,12,70,0.146,3956,7575,2813,6554,42.9,377,1185,31.8,1572,2015,78,897,2358,3255,1540,1182,573,393,421,1643,1647,-748,2009-10
450,Cleveland Cavaliers,82,66,16,0.805,3956,8223,3022,6454,46.8,656,1670,39.3,1523,2012,75.7,886,2574,3460,1663,1045,593,435,338,1663,1664,732,2008-09
451,Los Angeles Lakers,82,65,17,0.793,3956,8768,3307,6981,47.4,547,1516,36.1,1607,2087,77,1015,2587,3602,1908,1103,718,420,392,1698,1816,628,2008-09
452,Boston Celtics,82,62,20,0.756,3976,8275,3075,6333,48.6,538,1355,39.7,1587,2075,76.5,869,2586,3455,1862,1280,621,387,389,1897,1820,616,2008-09
453,Orlando Magic,82,59,23,0.72,3946,8286,2929,6416,45.7,817,2147,38.1,1611,2253,71.5,819,2728,3547,1593,1142,570,439,308,1664,1840,549,2008-09
454,Denver Nuggets,82,54,28,0.659,3946,8555,3058,6510,47,548,1477,37.1,1891,2487,76,905,2507,3412,1820,1257,710,492,447,1874,1944,280,2008-09
455,Portland Trail Blazers,82,54,28,0.659,3966,8153,3018,6494,46.5,596,1555,38.3,1521,1988,76.5,1060,2360,3420,1667,1055,550,402,319,1671,1733,438,2008-09
456,San Antonio Spurs,82,54,28,0.659,3981,7958,3042,6534,46.6,625,1620,38.6,1249,1641,76.1,728,2638,3366,1736,963,474,329,352,1546,1511,308,2008-09
457,Houston Rockets,82,53,29,0.646,3961,8070,2959,6526,45.3,621,1656,37.5,1531,1903,80.5,862,2662,3524,1662,1158,548,355,435,1553,1689,328,2008-09
458,Dallas Mavericks,82,50,32,0.61,3961,8343,3128,6770,46.2,571,1632,35,1516,1852,81.9,909,2595,3504,1779,1043,591,429,334,1600,1645,162,2008-09
459,New Orleans Hornets,82,49,33,0.598,3951,7857,2911,6366,45.7,556,1526,36.4,1479,1833,80.7,802,2453,3255,1609,1029,593,338,290,1665,1675,127,2008-09
460,Utah Jazz,82,48,34,0.585,3976,8492,3143,6623,47.5,392,1122,34.9,1814,2352,77.1,940,2423,3363,2024,1210,719,374,424,1830,1972,217,2008-09
461,Atlanta Hawks,82,47,35,0.573,3941,8046,2956,6451,45.8,597,1633,36.6,1537,2085,73.7,870,2412,3282,1657,1048,603,376,354,1610,1681,129,2008-09
462,Phoenix Suns,82,46,36,0.561,3951,8974,3373,6695,50.4,553,1445,38.3,1675,2251,74.4,900,2520,3420,1905,1288,589,420,369,1691,1877,158,2008-09
463,Miami Heat,82,43,39,0.524,3991,8061,3034,6646,45.7,582,1631,35.7,1411,1871,75.4,828,2411,3239,1671,1026,651,451,335,1696,1632,21,2008-09
464,Chicago Bulls,82,41,41,0.5,3986,8378,3126,6846,45.7,493,1293,38.1,1633,2052,79.6,970,2481,3451,1732,1192,615,453,449,1709,1708,-23,2008-09
465,Philadelphia 76ers,82,41,41,0.5,3951,7987,2997,6532,45.9,341,1072,31.8,1652,2216,74.5,1039,2336,3375,1647,1157,658,415,400,1650,1786,6,2008-09
466,Detroit Pistons,82,39,43,0.476,3981,7727,2981,6559,45.4,377,1079,34.9,1388,1849,75.1,949,2448,3397,1689,973,493,377,342,1712,1612,-40,2008-09
467,Indiana Pacers,82,36,46,0.439,3966,8617,3220,7080,45.5,652,1725,37.8,1525,1890,80.7,924,2661,3585,1775,1189,573,434,444,1895,1692,-91,2008-09
468,Charlotte Bobcats,82,35,47,0.427,3986,7677,2866,6299,45.5,490,1339,36.6,1455,1965,74,886,2366,3252,1741,1279,580,397,488,1754,1714,-104,2008-09
469,Milwaukee Bucks,82,34,48,0.415,3956,8142,3009,6755,44.5,511,1408,36.3,1613,2067,78,973,2367,3340,1802,1154,609,308,376,1986,1842,-89,2008-09
470,New Jersey Nets,82,34,48,0.415,3966,8044,2925,6536,44.8,652,1735,37.6,1542,1980,77.9,850,2415,3265,1636,1075,559,391,393,1838,1680,-200,2008-09
471,Toronto Raptors,82,33,49,0.402,3961,8121,3054,6673,45.8,479,1289,37.2,1534,1861,82.4,802,2513,3315,1835,1098,523,390,386,1593,1645,-231,2008-09
472,New York Knicks,82,32,50,0.39,3961,8627,3157,7091,44.5,823,2284,36,1490,1900,78.4,911,2545,3456,1738,1174,610,204,437,1672,1592,-214,2008-09
473,Golden State Warriors,82,29,53,0.354,3976,8905,3231,7055,45.8,550,1475,37.3,1893,2392,79.1,953,2492,3445,1711,1201,638,527,414,1842,1927,-307,2008-09
474,Memphis Grizzlies,82,24,58,0.293,3961,7698,2865,6311,45.4,398,1106,36,1570,2077,75.6,847,2337,3184,1423,1252,615,385,443,1777,1786,-448,2008-09
475,Minnesota Timberwolves,82,24,58,0.293,3961,8019,2986,6766,44.1,543,1539,35.3,1504,1957,76.9,975,2442,3417,1674,1165,512,322,484,1785,1642,-403,2008-09
476,Oklahoma City Thunder,82,23,59,0.28,3961,7952,2999,6716,44.7,328,949,34.6,1626,2069,78.6,999,2497,3496,1663,1330,608,371,407,1655,1656,-500,2008-09
477,Los Angeles Clippers,82,19,63,0.232,3976,7799,2955,6696,44.1,535,1513,35.4,1354,1839,73.6,890,2377,3267,1723,1221,572,482,414,1650,1609,-719,2008-09
478,Washington Wizards,82,19,63,0.232,3941,7877,2994,6655,45,395,1198,33,1494,1948,76.7,956,2330,3286,1641,1146,619,365,431,1679,1638,-612,2008-09
479,Sacramento Kings,82,17,65,0.207,3981,8248,2990,6685,44.7,586,1594,36.8,1682,2107,79.8,840,2366,3206,1619,1266,569,349,423,1910,1737,-718,2008-09
480,Boston Celtics,82,66,16,0.805,3951,8245,2986,6286,47.5,596,1564,38.1,1677,2176,77.1,830,2615,3445,1833,1246,696,379,389,1864,1818,841,2007-08
481,Detroit Pistons,82,59,23,0.72,3946,7992,2999,6551,45.8,487,1330,36.6,1507,1965,76.7,974,2423,3397,1831,956,583,472,319,1688,1618,606,2007-08
482,Los Angeles Lakers,82,57,25,0.695,3956,8904,3248,6818,47.6,662,1751,37.8,1746,2270,76.9,898,2722,3620,2003,1156,654,438,368,1691,1850,595,2007-08
483,New Orleans Hornets,82,56,26,0.683,3961,8270,3164,6796,46.6,630,1621,38.9,1312,1707,76.9,937,2494,3431,1785,974,637,321,331,1531,1573,433,2007-08
484,San Antonio Spurs,82,56,26,0.683,3946,7820,2938,6424,45.7,594,1610,36.9,1350,1774,76.1,771,2612,3383,1718,1035,521,337,361,1537,1625,393,2007-08
485,Houston Rockets,82,55,27,0.671,3946,7931,3003,6698,44.8,583,1707,34.2,1342,1848,72.6,1002,2659,3661,1757,1125,598,420,379,1609,1615,384,2007-08
486,Phoenix Suns,82,55,27,0.671,3956,9026,3392,6782,50,694,1764,39.3,1548,1977,78.3,720,2683,3403,2188,1184,532,518,311,1633,1731,414,2007-08
487,Utah Jazz,82,54,28,0.659,3941,8710,3279,6592,49.7,407,1095,37.2,1745,2298,75.9,942,2410,3352,2165,1200,717,355,420,1970,1891,564,2007-08
488,Orlando Magic,82,52,30,0.634,3956,8567,3058,6446,47.4,801,2074,38.6,1650,2288,72.1,768,2677,3445,1706,1173,520,333,344,1688,1898,448,2007-08
489,Dallas Mavericks,82,51,31,0.622,3946,8234,3025,6515,46.4,494,1403,35.2,1690,2075,81.4,883,2643,3526,1720,1037,490,402,357,1786,1739,372,2007-08
490,Denver Nuggets,82,50,32,0.61,3971,9074,3307,7038,47,569,1605,35.5,1891,2519,75.1,918,2698,3616,2024,1203,752,551,393,1731,1950,304,2007-08
491,Golden State Warriors,82,48,34,0.585,3956,9105,3403,7406,45.9,761,2185,34.8,1538,2044,75.2,1045,2496,3541,1833,1082,744,377,413,1875,1736,181,2007-08
492,Cleveland Cavaliers,82,45,37,0.549,3971,7903,2937,6697,43.9,552,1544,35.8,1477,2061,71.7,1092,2563,3655,1640,1145,579,427,388,1712,1666,-29,2007-08
493,Washington Wizards,82,43,39,0.524,3981,8104,2986,6695,44.6,575,1614,35.6,1557,1991,78.2,1007,2404,3411,1607,1082,632,391,360,1606,1656,-27,2007-08
494,Portland Trail Blazers,82,41,41,0.5,3981,7820,2935,6546,44.8,538,1426,37.7,1412,1841,76.7,901,2438,3339,1733,1056,455,360,301,1642,1656,-80,2007-08
495,Toronto Raptors,82,41,41,0.5,3966,8215,3148,6726,46.8,572,1459,39.2,1347,1658,81.2,790,2496,3286,1953,959,570,336,333,1596,1508,238,2007-08
496,Philadelphia 76ers,82,40,42,0.488,3951,7923,3056,6648,46,302,952,31.7,1509,2137,70.6,1067,2370,3437,1673,1172,712,400,420,1620,1708,34,2007-08
497,Sacramento Kings,82,38,44,0.463,3966,8408,3043,6558,46.4,510,1367,37.3,1812,2272,79.8,829,2456,3285,1567,1317,651,334,452,1839,1892,-185,2007-08
498,Atlanta Hawks,82,37,45,0.451,3971,8054,2975,6552,45.4,384,1078,35.6,1720,2227,77.2,1008,2454,3462,1804,1223,600,448,421,1673,1793,-149,2007-08
499,Indiana Pacers,82,36,46,0.439,3951,8527,3102,6993,44.4,755,2021,37.4,1568,2042,76.8,904,2633,3537,1864,1236,623,412,416,1921,1782,-115,2007-08
500,New Jersey Nets,82,34,48,0.415,3966,7857,2856,6450,44.3,498,1430,34.8,1647,2237,73.6,913,2520,3433,1925,1229,521,390,362,1855,1836,-415,2007-08
501,Chicago Bulls,82,33,49,0.402,3961,7981,2987,6861,43.5,474,1305,36.3,1533,2029,75.6,1050,2478,3528,1811,1197,635,429,465,1784,1746,-253,2007-08
502,Charlotte Bobcats,82,32,50,0.39,3976,7959,2960,6554,45.2,529,1443,36.7,1510,2115,71.4,892,2440,3332,1748,1204,614,402,476,1777,1721,-359,2007-08
503,Milwaukee Bucks,82,26,56,0.317,3971,7956,3026,6745,44.9,452,1313,34.4,1452,1980,73.3,1055,2363,3418,1760,1210,544,361,404,1748,1727,-565,2007-08
504,Los Angeles Clippers,82,23,59,0.28,3961,7692,2820,6445,43.8,350,1079,32.4,1702,2178,78.1,800,2491,3291,1732,1180,557,398,388,1745,1773,-596,2007-08
505,New York Knicks,82,23,59,0.28,3976,7948,2967,6757,43.9,490,1454,33.7,1524,2095,72.7,1029,2457,3486,1530,1187,521,213,429,1761,1665,-542,2007-08
506,Memphis Grizzlies,82,22,60,0.268,3961,8257,3060,6737,45.4,620,1779,34.9,1517,2097,72.3,848,2567,3415,1574,1251,503,386,403,1592,1842,-509,2007-08
507,Minnesota Timberwolves,82,22,60,0.268,3946,7839,3076,6817,45.1,441,1259,35,1246,1693,73.6,964,2428,3392,1630,1188,616,306,467,1885,1434,-556,2007-08
508,Seattle SuperSonics,82,20,62,0.244,3966,7999,3125,7032,44.4,313,939,33.3,1436,1866,77,971,2688,3659,1748,1310,531,400,440,1680,1610,-718,2007-08
509,Miami Heat,82,15,67,0.183,3966,7491,2808,6336,44.3,491,1373,35.8,1384,1903,72.7,743,2342,3085,1644,1202,589,355,341,1670,1650,-709,2007-08
510,Dallas Mavericks,82,67,15,0.817,3951,8201,3010,6442,46.7,535,1404,38.1,1646,2045,80.5,920,2515,3435,1632,1140,560,408,312,1837,1811,592,2006-07
511,Phoenix Suns,82,61,21,0.744,3981,9037,3388,6855,49.4,785,1965,39.9,1476,1827,80.8,737,2583,3320,2122,1189,553,394,304,1659,1759,599,2006-07
512,San Antonio Spurs,82,58,24,0.707,3956,8079,2999,6328,47.4,595,1561,38.1,1486,1980,75.1,761,2577,3338,1814,1137,587,417,337,1588,1739,691,2006-07
